dst_port,duration,src_bytes,dst_bytes,packet_count,avg_packet_len,std_packet_len,flow_bytes_per_sec,flow_packets_per_sec,fwd_packet_len_max,bwd_packet_len_max,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,syn_ratio,fin_ratio,rst_ratio,ack_ratio,psh_ratio,port_is_web,port_is_mail,port_is_admin,port_is_db,port_is_dns,label,is_attack
993,4.3708610696262625e-05,0,18,2,4.118764001091077,3.1937003158929738,250624.73878411602,37995.48484724052,0,6,2.1854305348131313e-05,0.0,2.1854305348131313e-05,2.1854305348131313e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,PortScan,1
8080,8.795585311974417e-05,0,18,2,1.0823379771832098,3.9398197043239884,424599.1883601898,58221.03992208971,0,12,4.3977926559872084e-05,0.0,4.3977926559872084e-05,4.3977926559872084e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,PortScan,1
22,9.929904033620958e-05,0,12,2,3.0990257265289514,2.8638900372842313,181053.11308911885,130133.5210500283,0,12,4.964952016810479e-05,0.0,4.964952016810479e-05,4.964952016810479e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,PortScan,1
995,1.4199909689225389e-05,0,18,2,2.8242799368681437,3.570351922786027,139853.20197126188,112562.19891445008,0,12,7.099954844612694e-06,0.0,7.099954844612694e-06,7.099954844612694e-06,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,PortScan,1
3306,5.200866039231819e-05,0,18,2,3.721230154351119,2.900998503939086,55969.232521939935,189596.3160232735,0,12,2.6004330196159095e-05,0.0,2.6004330196159095e-05,2.6004330196159095e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,PortScan,1
27017,8.27557613304815e-05,0,12,2,1.3906884560255355,3.3684660530243136,248068.62218282057,41966.88227206019,0,6,4.137788066524075e-05,0.0,4.137788066524075e-05,4.137788066524075e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,PortScan,1
443,8.49875420562548e-05,0,12,2,2.564242430292963,2.3644721755761244,389912.6346429436,96528.05740842405,0,12,4.24937710281274e-05,0.0,4.24937710281274e-05,4.24937710281274e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,PortScan,1
3690,5.920392514089517e-05,0,12,2,2.7990165334790627,2.790300472003629,466996.48960720736,150908.95925415575,0,6,2.9601962570447584e-05,0.0,2.9601962570447584e-05,2.9601962570447584e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,PortScan,1
6379,1.7964325184672754e-05,0,6,2,2.554709158757928,2.5426980635477916,422931.8791183682,84215.59880484607,0,12,8.982162592336377e-06,0.0,8.982162592336377e-06,8.982162592336377e-06,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,PortScan,1
110,6.463308229180163e-05,0,6,2,2.1850940228163296,2.3305338781260048,57036.38303353727,96212.26652714654,0,6,3.2316541145900815e-05,0.0,3.2316541145900815e-05,3.2316541145900815e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,PortScan,1
21,2.7884411338075515e-05,0,18,2,3.8274293753904685,3.4580143360819746,397071.6560086756,33328.037312136265,0,6,1.3942205669037758e-05,0.0,1.3942205669037758e-05,1.3942205669037758e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,PortScan,1
5900,6.859693229517501e-05,0,6,2,3.4931925073102317,2.6617960497052984,78601.25762871063,75976.8179088192,0,12,3.4298466147587506e-05,0.0,3.4298466147587506e-05,3.4298466147587506e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,PortScan,1
25,6.99330120955747e-05,0,12,2,4.548850970305306,2.944429850323899,103817.41067223577,148384.0617001391,0,6,3.496650604778735e-05,0.0,3.496650604778735e-05,3.496650604778735e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,PortScan,1
143,7.495565690483859e-05,0,18,2,1.1617343581537254,3.421325779371575,99900.86936532409,99080.57033583862,0,6,3.7477828452419297e-05,0.0,3.7477828452419297e-05,3.7477828452419297e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,PortScan,1
5900,1.2828626711806083e-05,0,6,2,2.2574239243053067,3.0171413823294055,458404.91326674185,64872.60124679749,0,6,6.414313355903041e-06,0.0,6.414313355903041e-06,6.414313355903041e-06,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,PortScan,1
8080,5.858569821715058e-05,0,6,2,1.307919639315172,2.5795029058275363,122549.579264302,187345.57742166315,0,6,2.929284910857529e-05,0.0,2.929284910857529e-05,2.929284910857529e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,PortScan,1
3389,3.660703172539426e-05,0,12,2,4.533121035675473,2.648690042010548,104939.57961530301,84133.61085385548,0,12,1.830351586269713e-05,0.0,1.830351586269713e-05,1.830351586269713e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,PortScan,1
110,1.9904673207490907e-05,0,6,2,2.219125032632116,2.3293117062858837,290340.2387189489,107269.39484461698,0,6,9.952336603745454e-06,0.0,9.952336603745454e-06,9.952336603745454e-06,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,PortScan,1
25,2.0787883060031456e-05,0,18,2,1.6731641686917222,2.4375284391461403,301145.90090780356,92690.51079044734,0,12,1.0393941530015728e-05,0.0,1.0393941530015728e-05,1.0393941530015728e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,PortScan,1
25,9.746038744488647e-05,0,12,2,3.7852170913591534,3.424541179848884,116639.11847902994,199593.28730880952,0,6,4.8730193722443234e-05,0.0,4.8730193722443234e-05,4.8730193722443234e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,PortScan,1
80,6.486079005819072e-05,0,12,2,1.1322029316021935,2.690142496053366,335458.1051156137,142526.98127985804,0,6,3.243039502909536e-05,0.0,3.243039502909536e-05,3.243039502909536e-05,0,0,0,1,0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,PortScan,1
